state_code,lat,lon,bird,lat_zone
NH,43.66,-71.8,Purple Finch,middle
OH,39.55,-84.61,Northern Cardinal,middle
IL,40.99,-90.84,Northern Cardinal,middle
DC,38.93,-76.99,Not Recorded,middle
NC,36.21,-81.3,Northern Cardinal,middle
AK,66.73,-150.25,Willow Ptarmigan,high
NE,42.47,-100.04,Western Meadowlark,middle
OK,36.81,-101.37,Scissor-tailed Flycatcher,middle
KS,39.96,-99.91,Western Meadowlark,middle
NE,40.73,-96.01,Western Meadowlark,middle
ID,44.22,-113.71,Mountain Bluebird,middle
NJ,40.01,-74.66,Eastern Goldfinch,middle
FL,29.53,-83.34,Northern Mockingbird,low
NH,42.82,-71.69,Purple Finch,middle
MD,38.28,-76.77,Baltimore Oriole,middle
TX,30.86,-100.1,Northern Mockingbird,middle
ND,47.5,-103.26,Western Meadowlark,middle
CO,39.27,-102.75,Lark Bunting,middle
OK,36.97,-101.87,Scissor-tailed Flycatcher,middle
MN,43.98,-96.34,Common Loon,middle
ME,44.51,-70.55,Chickadee,middle
HI,19.68,-155.93,Hawaiian Nene,low
DC,38.93,-77.07,Not Recorded,middle
MN,46.7,-94.9,Common Loon,middle
NM,36.69,-106.71,Greater Roadrunner,middle
OH,40.82,-81.26,Northern Cardinal,middle
RI,41.97,-71.59,Rhode Island Red,middle
HI,21.33,-157.91,Hawaiian Nene,low
NC,35.5,-77.07,Northern Cardinal,middle
VT,43.84,-72.54,Hermit Thrush,middle
PA,41.89,-80.24,Northern Cardinal,middle
NH,43.94,-71.06,Purple Finch,middle
WV,38.24,-80.33,Northern Cardinal,middle
SD,44.73,-97.96,Ring-necked Pheasant,middle
GA,31.72,-84.14,Brown Thrasher,middle
MS,31.07,-89.83,Northern Mockingbird,middle
WI,46.08,-89.66,American Robin,middle
NY,42.68,-78.45,Eastern Bluebird,middle
NJ,39.67,-74.72,Eastern Goldfinch,middle
NC,34.45,-79.03,Northern Cardinal,middle
AR,34.71,-91.9,Northern Mockingbird,middle
OR,42.55,-122.06,Western Meadowlark,middle
MD,39.35,-76.89,Baltimore Oriole,middle
IL,41.79,-89.36,Northern Cardinal,middle
VA,36.77,-80.12,Northern Cardinal,middle
DE,38.8,-75.63,Delaware Blue Hen,middle
MO,39.03,-94.27,Eastern Bluebird,middle
KS,39.96,-95.88,Western Meadowlark,middle
NC,36.21,-80.01,Northern Cardinal,middle
CO,37.68,-106.55,Lark Bunting,middle
NE,40.2,-97.07,Western Meadowlark,middle
WA,47.85,-123.07,Willow Goldfinch,middle
RI,41.52,-71.44,Rhode Island Red,middle
AR,35.95,-93.38,Northern Mockingbird,middle
MI,46.26,-86.82,American Robin,middle
IL,40.83,-88.41,Northern Cardinal,middle
OR,45.34,-120.8,Western Meadowlark,middle
WY,41.9,-106.83,Western Meadowlark,middle
PA,41.82,-78.21,Northern Cardinal,middle
ND,48.54,-101.53,Western Meadowlark,middle
PA,41.86,-77.74,Northern Cardinal,middle
GA,31.66,-84.05,Brown Thrasher,middle
OK,35.72,-98.66,Scissor-tailed Flycatcher,middle
MI,43.52,-84.13,American Robin,middle
WY,43.34,-110.75,Western Meadowlark,middle
MA,41.59,-71.03,Black-capped Chickadee,middle
IN,39.4,-86.45,Northern Cardinal,middle
VA,37.32,-77.09,Northern Cardinal,middle
HI,19.55,-155.61,Hawaiian Nene,low
NV,39.21,-115.41,Mountain Bluebird,middle
WA,47.93,-124.51,Willow Goldfinch,middle
MS,34.47,-89.21,Northern Mockingbird,middle
WA,48.34,-118.34,Willow Goldfinch,middle
CO,38.07,-107.09,Lark Bunting,middle
IN,37.92,-87.93,Northern Cardinal,middle
IL,37.79,-89.02,Northern Cardinal,middle
HI,19.11,-155.63,Hawaiian Nene,low
FL,27.31,-82.3,Northern Mockingbird,low
AR,35.56,-93.35,Northern Mockingbird,middle
MO,39.39,-93.27,Eastern Bluebird,middle
CT,41.92,-73.32,American Robin,middle
MN,47.92,-94.12,Common Loon,middle
WA,48.92,-117.63,Willow Goldfinch,middle
MI,44.75,-84.88,American Robin,middle
WA,47.62,-121.25,Willow Goldfinch,middle
DC,38.84,-77.03,Not Recorded,middle
NE,42.72,-103.94,Western Meadowlark,middle
NV,40.59,-118.58,Mountain Bluebird,middle
NH,43.23,-71.47,Purple Finch,middle
MI,46.6,-85.24,American Robin,middle
CA,36.92,-121.8,California Quail,middle
SC,34.3,-82.03,Carolina Wren,middle
NM,32.59,-103.32,Greater Roadrunner,middle
TX,29.06,-95.91,Northern Mockingbird,low
NC,36.33,-80.98,Northern Cardinal,middle
CO,37.38,-102.6,Lark Bunting,middle
WV,39.39,-81.46,Northern Cardinal,middle
MN,47.51,-93.34,Common Loon,middle
FL,28.49,-81.9,Northern Mockingbird,low
NC,34.62,-78.88,Northern Cardinal,middle
KY,36.85,-84.06,Northern Cardinal,middle
IA,42.85,-95.64,Eastern Goldfinch,middle
NE,40.05,-95.64,Western Meadowlark,middle
MN,48.35,-96.18,Common Loon,middle
HI,19.61,-155.54,Hawaiian Nene,low
TX,32.92,-100.2,Northern Mockingbird,middle
NY,43.37,-76.24,Eastern Bluebird,middle
TN,35.69,-83.8,Northern Mockingbird,middle
RI,41.73,-71.71,Rhode Island Red,middle
AZ,36.18,-109.31,Cactus Wren,middle
TN,35.81,-87.68,Northern Mockingbird,middle
WI,44.87,-91.38,American Robin,middle
NJ,41.1,-74.86,Eastern Goldfinch,middle
SD,43.12,-103.25,Ring-necked Pheasant,middle
NH,43.84,-72.17,Purple Finch,middle
OR,45.27,-119.02,Western Meadowlark,middle
RI,41.76,-71.54,Rhode Island Red,middle
IN,38.68,-87.31,Northern Cardinal,middle
MA,42.07,-71.62,Black-capped Chickadee,middle
MI,46.54,-85.77,American Robin,middle
WI,45.8,-89.13,American Robin,middle
NM,34.29,-104.87,Greater Roadrunner,middle
NC,35.02,-77.21,Northern Cardinal,middle
WI,43.94,-89.63,American Robin,middle
DE,38.74,-75.58,Delaware Blue Hen,middle
KY,37.94,-84.35,Northern Cardinal,middle
AR,33.59,-91.91,Northern Mockingbird,middle
MT,45.92,-104.6,Western Meadowlark,middle
ME,45.3,-70.29,Chickadee,middle
SD,45.81,-102.07,Ring-necked Pheasant,middle
OH,40.61,-81.98,Northern Cardinal,middle
WV,39.46,-80.83,Northern Cardinal,middle
WY,44.86,-108.95,Western Meadowlark,middle
TN,35.96,-85.57,Northern Mockingbird,middle
TX,30.59,-96.07,Northern Mockingbird,middle
TX,30.91,-96.11,Northern Mockingbird,middle
LA,30.72,-92.96,Brown Pelican,middle
DC,38.89,-76.93,Not Recorded,middle
TX,33.57,-98.98,Northern Mockingbird,middle
CA,38.27,-119.16,California Quail,middle
OK,34.72,-97.96,Scissor-tailed Flycatcher,middle
MT,45.22,-112.02,Western Meadowlark,middle
SC,34.73,-82.17,Carolina Wren,middle
MD,39.47,-77.29,Baltimore Oriole,middle
IL,39.37,-90.28,Northern Cardinal,middle
NM,33.82,-108.16,Greater Roadrunner,middle
LA,32.68,-91.72,Brown Pelican,middle
TN,35.66,-88.72,Northern Mockingbird,middle
OK,36.42,-98.08,Scissor-tailed Flycatcher,middle
ID,45.51,-116.47,Mountain Bluebird,middle
MN,45.97,-93.29,Common Loon,middle
KY,37.75,-83.32,Northern Cardinal,middle
NE,42.08,-101.39,Western Meadowlark,middle
AL,31.07,-86.22,Yellowhammer,middle
VA,38.72,-77.29,Northern Cardinal,middle
SC,34.76,-83.21,Carolina Wren,middle
TX,26.39,-98.81,Northern Mockingbird,low
ND,46.51,-102.64,Western Meadowlark,middle
KY,36.75,-85.49,Northern Cardinal,middle
LA,31.47,-93.01,Brown Pelican,middle
ID,42.5,-113.75,Mountain Bluebird,middle
LA,32.29,-93.08,Brown Pelican,middle
AR,34.2,-92.91,Northern Mockingbird,middle
MD,39.18,-75.81,Baltimore Oriole,middle
ME,45.47,-69.85,Chickadee,middle
GA,34.09,-85.23,Brown Thrasher,middle
ME,44.98,-69.24,Chickadee,middle
AZ,34.75,-109.8,Cactus Wren,middle
NM,33.61,-106.15,Greater Roadrunner,middle
CT,41.63,-71.83,American Robin,middle
NC,36.26,-76.5,Northern Cardinal,middle
MD,38.55,-76.19,Baltimore Oriole,middle
CT,41.94,-73.47,American Robin,middle
UT,40.2,-109.29,California Gull,middle
ME,46.84,-67.82,Chickadee,middle
MS,30.82,-89.01,Northern Mockingbird,middle
HI,19.26,-155.72,Hawaiian Nene,low
MI,42.08,-83.61,American Robin,middle
ME,46.87,-68.62,Chickadee,middle
ID,46.34,-115.22,Mountain Bluebird,middle
NE,41.14,-101.75,Western Meadowlark,middle
MS,30.57,-88.89,Northern Mockingbird,middle
MI,44.62,-83.45,American Robin,middle
DE,39.51,-75.71,Delaware Blue Hen,middle
OK,36.76,-101.38,Scissor-tailed Flycatcher,middle
ND,47.18,-97.01,Western Meadowlark,middle
WV,38.33,-81.6,Northern Cardinal,middle
VA,37.48,-77.97,Northern Cardinal,middle
TX,31.88,-94.68,Northern Mockingbird,middle
ID,42.25,-113.6,Mountain Bluebird,middle
IN,38.94,-84.96,Northern Cardinal,middle
NM,34.49,-107.03,Greater Roadrunner,middle
OR,45.27,-120.09,Western Meadowlark,middle
SD,45.73,-98.54,Ring-necked Pheasant,middle
ID,44.9,-114.95,Mountain Bluebird,middle
WI,44.22,-90.3,American Robin,middle
MN,44.2,-94.92,Common Loon,middle
ME,45.11,-68.98,Chickadee,middle
AZ,32.99,-111.77,Cactus Wren,middle
MD,39.3,-76.78,Baltimore Oriole,middle
CA,37.8,-121.93,California Quail,middle
GA,31.64,-83.09,Brown Thrasher,middle
VT,44.91,-72.29,Hermit Thrush,middle
OK,35.99,-98.49,Scissor-tailed Flycatcher,middle
TN,35.29,-86.01,Northern Mockingbird,middle
SC,34.87,-80.95,Carolina Wren,middle
CT,41.19,-73.23,American Robin,middle
HI,19.67,-155.31,Hawaiian Nene,low
HI,21.1,-157.29,Hawaiian Nene,low
MO,38.06,-94.07,Eastern Bluebird,middle
IA,42.5,-94.36,Eastern Goldfinch,middle
DC,38.87,-77.04,Not Recorded,middle
TX,36.31,-100.21,Northern Mockingbird,middle
FL,25.65,-81.22,Northern Mockingbird,low
SD,43.51,-102.35,Ring-necked Pheasant,middle
WI,44.08,-87.81,American Robin,middle
DC,38.89,-76.95,Not Recorded,middle
MI,45.11,-84.23,American Robin,middle
IA,42.71,-95.01,Eastern Goldfinch,middle
AR,34.98,-92.94,Northern Mockingbird,middle
MA,42.17,-73.45,Black-capped Chickadee,middle
TX,28.86,-99.54,Northern Mockingbird,low
VA,38.74,-77.8,Northern Cardinal,middle
CA,37.24,-121.71,California Quail,middle
GA,30.85,-83.93,Brown Thrasher,middle
DE,38.83,-75.33,Delaware Blue Hen,middle
CT,41.61,-72.99,American Robin,middle
MD,39.3,-76.88,Baltimore Oriole,middle
NY,42.41,-74.94,Eastern Bluebird,middle
TN,36.14,-88.82,Northern Mockingbird,middle
VA,38.18,-76.91,Northern Cardinal,middle
NH,44.62,-71.08,Purple Finch,middle
AZ,36.8,-110.82,Cactus Wren,middle
AR,35.85,-93.52,Northern Mockingbird,middle
HI,21.54,-157.92,Hawaiian Nene,low
FL,29.03,-81.42,Northern Mockingbird,low
WY,42.91,-106.84,Western Meadowlark,middle
MT,48.53,-111.59,Western Meadowlark,middle
NE,41.38,-103.21,Western Meadowlark,middle
SC,33.74,-79.88,Carolina Wren,middle
LA,29.87,-89.8,Brown Pelican,low
DC,38.85,-77.03,Not Recorded,middle
PA,39.87,-76.36,Northern Cardinal,middle
CT,41.46,-72.81,American Robin,middle
WY,44.13,-109.98,Western Meadowlark,middle
MD,38.65,-76.56,Baltimore Oriole,middle
OR,42.95,-119.46,Western Meadowlark,middle
PA,41.35,-79.02,Northern Cardinal,middle
CO,38.71,-106.17,Lark Bunting,middle
OK,36.1,-97.43,Scissor-tailed Flycatcher,middle
CO,37.61,-104.1,Lark Bunting,middle
KY,37.35,-83.64,Northern Cardinal,middle
SD,43.38,-103.53,Ring-necked Pheasant,middle
NH,43.1,-71.24,Purple Finch,middle
OR,42.32,-123.92,Western Meadowlark,middle
IN,40.58,-86.71,Northern Cardinal,middle
KY,37.13,-88.32,Northern Cardinal,middle
AL,31.84,-85.97,Yellowhammer,middle
KY,37.95,-83.79,Northern Cardinal,middle
FL,29.26,-82.95,Northern Mockingbird,low
AR,33.39,-93.21,Northern Mockingbird,middle
PA,40.98,-80.45,Northern Cardinal,middle
OH,40.61,-81.37,Northern Cardinal,middle
TN,35.09,-86.91,Northern Mockingbird,middle
OK,35.54,-94.7,Scissor-tailed Flycatcher,middle
NY,42.92,-75.47,Eastern Bluebird,middle
WY,42.85,-108.38,Western Meadowlark,middle
NJ,39.33,-74.99,Eastern Goldfinch,middle
AK,67.44,-153.1,Willow Ptarmigan,high
NC,35.26,-79.06,Northern Cardinal,middle
KY,36.89,-87.08,Northern Cardinal,middle
MD,38.75,-76.64,Baltimore Oriole,middle
FL,27.5,-82.05,Northern Mockingbird,low
IA,41.55,-95.25,Eastern Goldfinch,middle
MO,38.02,-94.48,Eastern Bluebird,middle
NE,41.84,-96.44,Western Meadowlark,middle
WY,42.77,-108.38,Western Meadowlark,middle
NV,40.96,-117.46,Mountain Bluebird,middle
PA,40.85,-79.03,Northern Cardinal,middle
NV,36.57,-116.42,Mountain Bluebird,middle
VT,43.19,-72.57,Hermit Thrush,middle
ND,48.1,-99.8,Western Meadowlark,middle
MD,38.71,-76.89,Baltimore Oriole,middle
DE,39.45,-75.62,Delaware Blue Hen,middle
IL,37.77,-89.01,Northern Cardinal,middle
MS,33.05,-90.66,Northern Mockingbird,middle
MO,37.23,-91.48,Eastern Bluebird,middle
OR,43.67,-119.69,Western Meadowlark,middle
AK,68.65,-154.04,Willow Ptarmigan,high
AR,35.46,-91.91,Northern Mockingbird,middle
SD,43.73,-103.82,Ring-necked Pheasant,middle
TN,35.79,-85.13,Northern Mockingbird,middle
ME,46.74,-69.37,Chickadee,middle
AK,66.97,-159.92,Willow Ptarmigan,high
HI,19.26,-155.52,Hawaiian Nene,low
UT,40.63,-109.25,California Gull,middle
PA,41.6,-80.3,Northern Cardinal,middle
WV,39.29,-79.69,Northern Cardinal,middle
LA,32.9,-93.11,Brown Pelican,middle
VA,37.37,-79.41,Northern Cardinal,middle
CT,41.19,-73.13,American Robin,middle
NY,42.98,-73.43,Eastern Bluebird,middle
PA,40.03,-76.06,Northern Cardinal,middle
MO,37.84,-91.74,Eastern Bluebird,middle
OR,44.11,-122.14,Western Meadowlark,middle
VA,37.25,-76.0,Northern Cardinal,middle
GA,32.19,-84.32,Brown Thrasher,middle
LA,29.75,-89.98,Brown Pelican,low
WA,46.54,-119.41,Willow Goldfinch,middle
MN,46.01,-92.62,Common Loon,middle
PA,41.54,-80.32,Northern Cardinal,middle
MD,38.99,-75.92,Baltimore Oriole,middle
VA,36.57,-79.96,Northern Cardinal,middle
VT,44.64,-71.84,Hermit Thrush,middle
WV,39.68,-79.56,Northern Cardinal,middle
WY,41.11,-109.34,Western Meadowlark,middle
MS,32.4,-89.24,Northern Mockingbird,middle
AL,31.5,-88.01,Yellowhammer,middle
OH,40.81,-82.01,Northern Cardinal,middle
MI,43.12,-82.51,American Robin,middle
AK,68.67,-152.94,Willow Ptarmigan,high
OR,43.45,-117.55,Western Meadowlark,middle
TX,33.52,-95.23,Northern Mockingbird,middle
PA,40.61,-80.29,Northern Cardinal,middle
VA,37.34,-76.55,Northern Cardinal,middle
IL,38.21,-90.24,Northern Cardinal,middle
CT,41.73,-72.13,American Robin,middle
ID,42.92,-113.05,Mountain Bluebird,middle
OR,42.09,-119.46,Western Meadowlark,middle
CA,36.01,-116.68,California Quail,middle
IA,41.47,-95.25,Eastern Goldfinch,middle
KY,37.5,-84.77,Northern Cardinal,middle
MI,44.7,-85.21,American Robin,middle
NV,40.09,-118.94,Mountain Bluebird,middle
IA,40.7,-94.71,Eastern Goldfinch,middle
WY,42.09,-106.19,Western Meadowlark,middle
NJ,39.34,-74.59,Eastern Goldfinch,middle
CA,35.4,-117.31,California Quail,middle
OK,35.44,-94.46,Scissor-tailed Flycatcher,middle
VA,37.43,-79.49,Northern Cardinal,middle
LA,30.47,-91.87,Brown Pelican,middle
NH,43.62,-71.77,Purple Finch,middle
AK,67.5,-158.7,Willow Ptarmigan,high
CT,41.67,-72.03,American Robin,middle
MA,42.29,-73.38,Black-capped Chickadee,middle
NM,32.6,-106.0,Greater Roadrunner,middle
GA,33.46,-84.68,Brown Thrasher,middle
ND,46.28,-103.62,Western Meadowlark,middle
LA,30.62,-92.89,Brown Pelican,middle
NJ,39.62,-75.14,Eastern Goldfinch,middle
AL,33.04,-85.87,Yellowhammer,middle
MT,45.29,-112.45,Western Meadowlark,middle
DC,38.86,-77.02,Not Recorded,middle
TN,36.58,-87.47,Northern Mockingbird,middle
RI,41.89,-71.76,Rhode Island Red,middle
MT,47.39,-114.31,Western Meadowlark,middle
RI,42.0,-71.5,Rhode Island Red,middle
VA,37.66,-78.37,Northern Cardinal,middle
DC,38.88,-76.96,Not Recorded,middle
NE,42.51,-96.95,Western Meadowlark,middle
UT,38.8,-109.46,California Gull,middle
MD,39.09,-75.79,Baltimore Oriole,middle
CA,34.89,-120.14,California Quail,middle
ME,44.31,-69.6,Chickadee,middle
MN,46.34,-92.37,Common Loon,middle
CT,41.87,-72.49,American Robin,middle
KY,38.36,-83.99,Northern Cardinal,middle
OK,34.48,-95.05,Scissor-tailed Flycatcher,middle
IN,38.63,-86.19,Northern Cardinal,middle
CO,38.82,-108.17,Lark Bunting,middle
MI,44.39,-84.45,American Robin,middle
NE,41.58,-103.89,Western Meadowlark,middle
NY,41.29,-74.11,Eastern Bluebird,middle
NC,36.36,-81.44,Northern Cardinal,middle
LA,32.9,-91.53,Brown Pelican,middle
AK,60.47,-144.71,Willow Ptarmigan,high
SD,43.26,-103.64,Ring-necked Pheasant,middle
NM,35.97,-106.09,Greater Roadrunner,middle
IL,39.2,-87.85,Northern Cardinal,middle
NC,35.35,-77.35,Northern Cardinal,middle
NJ,41.1,-74.98,Eastern Goldfinch,middle
NJ,39.2,-74.78,Eastern Goldfinch,middle
MS,31.64,-90.11,Northern Mockingbird,middle
NC,35.43,-83.17,Northern Cardinal,middle
MO,38.33,-94.09,Eastern Bluebird,middle
GA,34.56,-84.78,Brown Thrasher,middle
ME,46.23,-68.04,Chickadee,middle
AK,68.3,-159.68,Willow Ptarmigan,high
MS,32.49,-89.59,Northern Mockingbird,middle
NJ,40.1,-74.22,Eastern Goldfinch,middle
RI,41.98,-71.57,Rhode Island Red,middle
MN,45.83,-93.09,Common Loon,middle
NH,44.78,-71.53,Purple Finch,middle
CA,41.76,-123.05,California Quail,middle
RI,41.84,-71.55,Rhode Island Red,middle
NV,41.57,-114.65,Mountain Bluebird,middle
MT,47.92,-114.33,Western Meadowlark,middle
NC,36.07,-82.17,Northern Cardinal,middle
OH,39.52,-82.82,Northern Cardinal,middle
CA,34.99,-115.8,California Quail,middle
KY,38.0,-85.82,Northern Cardinal,middle
IN,41.67,-86.99,Northern Cardinal,middle
AR,34.97,-92.88,Northern Mockingbird,middle
AK,62.48,-145.34,Willow Ptarmigan,high
WY,44.64,-106.92,Western Meadowlark,middle
NV,39.69,-115.63,Mountain Bluebird,middle
MS,31.66,-90.12,Northern Mockingbird,middle
AZ,33.19,-112.46,Cactus Wren,middle
NM,33.02,-107.08,Greater Roadrunner,middle
AR,35.4,-92.77,Northern Mockingbird,middle
MT,47.04,-104.81,Western Meadowlark,middle
AL,32.5,-85.54,Yellowhammer,middle
VA,37.63,-78.45,Northern Cardinal,middle
GA,31.94,-81.4,Brown Thrasher,middle
NJ,40.1,-74.76,Eastern Goldfinch,middle
CO,37.24,-105.97,Lark Bunting,middle
GA,34.82,-84.34,Brown Thrasher,middle
PA,41.26,-75.34,Northern Cardinal,middle
WY,44.4,-108.62,Western Meadowlark,middle
CA,34.84,-118.73,California Quail,middle
AK,70.39,-150.86,Willow Ptarmigan,high
WA,48.59,-118.75,Willow Goldfinch,middle
IL,41.49,-89.98,Northern Cardinal,middle
NM,35.85,-107.54,Greater Roadrunner,middle
NV,40.98,-115.08,Mountain Bluebird,middle
ME,45.33,-68.68,Chickadee,middle
HI,21.06,-156.89,Hawaiian Nene,low
KS,37.76,-95.01,Western Meadowlark,middle
DE,38.94,-75.64,Delaware Blue Hen,middle
VA,38.15,-76.88,Northern Cardinal,middle
NM,32.72,-105.15,Greater Roadrunner,middle
PA,40.9,-76.57,Northern Cardinal,middle
AK,57.97,-133.53,Willow Ptarmigan,middle
AL,31.94,-86.11,Yellowhammer,middle
ND,46.81,-103.17,Western Meadowlark,middle
MA,42.69,-72.28,Black-capped Chickadee,middle
WY,44.38,-108.82,Western Meadowlark,middle
TX,31.75,-97.0,Northern Mockingbird,middle
SC,34.41,-81.01,Carolina Wren,middle
DE,39.64,-75.6,Delaware Blue Hen,middle
UT,39.67,-109.18,California Gull,middle
ND,48.4,-102.96,Western Meadowlark,middle
WA,46.46,-122.4,Willow Goldfinch,middle
GA,30.88,-82.15,Brown Thrasher,middle
MD,39.35,-77.5,Baltimore Oriole,middle
MI,44.59,-84.96,American Robin,middle
UT,40.3,-111.48,California Gull,middle
DE,39.15,-75.54,Delaware Blue Hen,middle
CA,39.53,-121.6,California Quail,middle
LA,30.21,-93.34,Brown Pelican,middle
NC,34.2,-78.42,Northern Cardinal,middle
NH,42.73,-72.43,Purple Finch,middle
AK,69.06,-157.28,Willow Ptarmigan,high
VT,44.73,-72.87,Hermit Thrush,middle
NC,35.08,-82.9,Northern Cardinal,middle
NM,35.41,-107.67,Greater Roadrunner,middle
PA,39.84,-77.97,Northern Cardinal,middle
CT,41.69,-73.43,American Robin,middle
VA,37.21,-81.32,Northern Cardinal,middle
IA,41.09,-95.83,Eastern Goldfinch,middle
MN,47.92,-92.36,Common Loon,middle
MI,42.58,-84.22,American Robin,middle
GA,32.3,-82.59,Brown Thrasher,middle
OH,40.12,-83.7,Northern Cardinal,middle
NC,35.36,-78.84,Northern Cardinal,middle
WY,44.79,-107.07,Western Meadowlark,middle
NV,37.38,-114.41,Mountain Bluebird,middle
MI,42.07,-83.65,American Robin,middle
CO,38.12,-105.73,Lark Bunting,middle
MN,45.32,-93.78,Common Loon,middle
MD,38.08,-75.78,Baltimore Oriole,middle
AR,35.76,-90.43,Northern Mockingbird,middle
CT,41.4,-73.25,American Robin,middle
TX,33.88,-100.91,Northern Mockingbird,middle
MS,33.66,-90.43,Northern Mockingbird,middle
HI,20.8,-156.13,Hawaiian Nene,low
IN,40.57,-87.46,Northern Cardinal,middle
AZ,33.77,-110.07,Cactus Wren,middle
UT,37.38,-113.22,California Gull,middle
PA,40.11,-79.66,Northern Cardinal,middle
ME,46.45,-68.24,Chickadee,middle
DE,38.52,-75.55,Delaware Blue Hen,middle
NE,40.2,-96.3,Western Meadowlark,middle
AZ,32.2,-112.49,Cactus Wren,middle
MD,38.69,-75.85,Baltimore Oriole,middle
ID,42.38,-115.03,Mountain Bluebird,middle
AR,35.93,-92.5,Northern Mockingbird,middle
WA,47.69,-124.29,Willow Goldfinch,middle
WV,37.51,-81.21,Northern Cardinal,middle
KY,37.11,-88.17,Northern Cardinal,middle
RI,41.71,-71.52,Rhode Island Red,middle
SD,45.22,-101.5,Ring-necked Pheasant,middle
WI,45.63,-90.59,American Robin,middle
OR,45.39,-119.13,Western Meadowlark,middle
NC,36.02,-82.0,Northern Cardinal,middle
NM,34.12,-106.03,Greater Roadrunner,middle
SD,43.8,-96.59,Ring-necked Pheasant,middle
MI,42.57,-85.94,American Robin,middle
VT,43.09,-72.86,Hermit Thrush,middle
FL,28.45,-81.33,Northern Mockingbird,low
CT,41.82,-72.82,American Robin,middle
AK,68.93,-144.56,Willow Ptarmigan,high
WI,45.08,-89.64,American Robin,middle
ME,44.06,-69.88,Chickadee,middle
CO,39.46,-105.82,Lark Bunting,middle
RI,41.69,-71.67,Rhode Island Red,middle
OH,39.48,-82.99,Northern Cardinal,middle
WY,43.87,-105.02,Western Meadowlark,middle
VA,38.98,-78.51,Northern Cardinal,middle
MA,41.64,-70.88,Black-capped Chickadee,middle
IA,43.12,-95.93,Eastern Goldfinch,middle
LA,32.47,-93.69,Brown Pelican,middle
VT,44.79,-73.0,Hermit Thrush,middle
DE,39.53,-75.6,Delaware Blue Hen,middle
NC,36.08,-76.61,Northern Cardinal,middle
OK,34.52,-98.54,Scissor-tailed Flycatcher,middle
OK,36.34,-97.0,Scissor-tailed Flycatcher,middle
ID,42.58,-116.86,Mountain Bluebird,middle
IN,39.99,-85.45,Northern Cardinal,middle
IL,39.17,-88.9,Northern Cardinal,middle
MT,46.59,-113.71,Western Meadowlark,middle
NJ,39.66,-75.15,Eastern Goldfinch,middle
WY,41.38,-110.95,Western Meadowlark,middle
OK,34.93,-99.17,Scissor-tailed Flycatcher,middle
MI,43.91,-83.19,American Robin,middle
ME,46.58,-69.26,Chickadee,middle
RI,41.64,-71.69,Rhode Island Red,middle
MN,46.96,-93.52,Common Loon,middle
MS,33.41,-90.27,Northern Mockingbird,middle
MT,45.62,-106.3,Western Meadowlark,middle
LA,32.48,-93.49,Brown Pelican,middle
SC,33.42,-79.3,Carolina Wren,middle
SC,33.77,-80.81,Carolina Wren,middle
NY,44.17,-74.51,Eastern Bluebird,middle
SC,34.49,-80.87,Carolina Wren,middle
OK,36.45,-99.91,Scissor-tailed Flycatcher,middle
MI,43.0,-84.26,American Robin,middle
DE,39.28,-75.7,Delaware Blue Hen,middle
CT,41.62,-73.35,American Robin,middle
MN,46.95,-94.94,Common Loon,middle
WV,39.21,-80.82,Northern Cardinal,middle
PA,41.77,-77.61,Northern Cardinal,middle
ME,44.59,-67.64,Chickadee,middle
WY,41.14,-110.16,Western Meadowlark,middle
OK,35.0,-94.94,Scissor-tailed Flycatcher,middle
CA,34.05,-116.64,California Quail,middle
SC,34.88,-81.9,Carolina Wren,middle
HI,21.58,-158.21,Hawaiian Nene,low
OR,44.34,-121.52,Western Meadowlark,middle
ID,44.05,-111.82,Mountain Bluebird,middle
SD,43.89,-100.51,Ring-necked Pheasant,middle
AK,64.8,-158.27,Willow Ptarmigan,high
NH,43.81,-71.58,Purple Finch,middle
CA,38.78,-120.21,California Quail,middle
MN,46.11,-94.03,Common Loon,middle
LA,30.79,-90.09,Brown Pelican,middle
SC,33.6,-79.29,Carolina Wren,middle
NC,35.87,-80.2,Northern Cardinal,middle
MA,42.5,-71.79,Black-capped Chickadee,middle
TN,35.85,-83.03,Northern Mockingbird,middle
DE,38.55,-75.59,Delaware Blue Hen,middle
KY,38.57,-82.91,Northern Cardinal,middle
VA,36.95,-78.67,Northern Cardinal,middle
VA,36.68,-80.89,Northern Cardinal,middle
LA,31.58,-93.11,Brown Pelican,middle
DC,38.94,-76.99,Not Recorded,middle
GA,32.39,-84.82,Brown Thrasher,middle
OH,40.09,-84.39,Northern Cardinal,middle
IN,39.63,-86.28,Northern Cardinal,middle
TX,31.29,-99.26,Northern Mockingbird,middle
AK,57.21,-156.48,Willow Ptarmigan,middle
VT,44.65,-71.84,Hermit Thrush,middle
VA,37.53,-76.62,Northern Cardinal,middle
MN,47.72,-92.21,Common Loon,middle
CA,37.8,-121.68,California Quail,middle
WI,42.5,-89.38,American Robin,middle
VA,37.58,-78.12,Northern Cardinal,middle
MN,44.63,-95.17,Common Loon,middle
MT,45.58,-107.28,Western Meadowlark,middle
NV,37.55,-116.98,Mountain Bluebird,middle
MS,33.23,-88.95,Northern Mockingbird,middle
AZ,33.28,-109.16,Cactus Wren,middle
HI,19.37,-155.07,Hawaiian Nene,low
NJ,41.01,-75.0,Eastern Goldfinch,middle
NJ,41.12,-74.38,Eastern Goldfinch,middle
